id,color_image,thermal_image,hotspot_id,hotspot_type,species_id,species_confidence,fog,thermal_x,thermal_y,color_left,color_top,color_right,color_bottom,updated_left,updated_top,updated_right,updated_bottom,updated,status
-1,CHESS2016_N94S_FL12_C__20160421211808.876GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421211808.876GMT_THERM-16BIT.PNG,79099.0,Animal,Ringed Seal,100%,No,582,366,5434,3053,5946,3565,5642,3302,5729,3364,True,none
-1,CHESS2016_N94S_FL12_C__20160421213802.395GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421213802.395GMT_THERM-16BIT.PNG,79100.0,Animal,Ringed Seal,100%,No,155,206,919,1529,1431,2041,1187,1747,1245,1816,True,none
-1,CHESS2016_N94S_FL12_C__20160421213947.440GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421213947.440GMT_THERM-16BIT.PNG,79101.0,Animal,Ringed Seal,100%,No,323,104,2748,179,3260,691,2976,442,3037,485,True,none
-1,CHESS2016_N94S_FL12_C__20160421213958.041GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421213958.041GMT_THERM-16BIT.PNG,79102.0,Animal,Ringed Seal,100%,No,111,242,455,1863,967,2375,692,2112,758,2169,True,none
-1,CHESS2016_N94S_FL12_C__20160421214055.872GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214055.872GMT_THERM-16BIT.PNG,79103.0,Animal,Ringed Seal,100%,No,458,320,4099,2514,4611,3026,4312,2748,4361,2779,True,none
-1,CHESS2016_N94S_FL12_C__20160421214059.228GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214059.228GMT_THERM-16BIT.PNG,79104.0,Duplicate,Ringed Seal,100%,No,513,94,4723,19,5235,531,4981,231,5038,263,True,none
-1,CHESS2016_N94S_FL12_C__20160421214100.263GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214100.263GMT_THERM-16BIT.PNG,79105.0,Animal,Ringed Seal,100%,No,517,434,4781,3750,5293,4262,4972,3976,5026,4007,True,none
-1,CHESS2016_N94S_FL12_C__20160421214340.129GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214340.129GMT_THERM-16BIT.PNG,79106.0,Animal,Ringed Seal,100%,No,133,280,556,2139,1068,2651,842,2346,897,2392,True,none
-1,CHESS2016_N94S_FL12_C__20160421214630.573GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214630.573GMT_THERM-16BIT.PNG,79107.0,Animal,Ringed Seal,100%,No,207,181,1268,963,1780,1475,1478,1181,1534,1234,True,none
-1,CHESS2016_N94S_FL12_C__20160421214633.420GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214633.420GMT_THERM-16BIT.PNG,79108.0,Duplicate,Ringed Seal,100%,No,326,69,2632,-39,3144,473,2866,173,2897,245,True,none
-1,CHESS2016_N94S_FL12_C__20160421214634.068GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214634.068GMT_THERM-16BIT.PNG,79109.0,Animal,Ringed Seal,100%,No,382,351,3198,2966,3710,3478,3428,3154,3460,3232,True,none
-1,CHESS2016_N94S_FL12_C__20160421214754.369GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214754.369GMT_THERM-16BIT.PNG,79110.0,Animal,Ringed Seal,100%,No,146,130,774,934,1286,1446,999,1169,1060,1204,True,none
-1,CHESS2016_N94S_FL12_C__20160421215322.290GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215322.290GMT_THERM-16BIT.PNG,79113.0,Animal,Ringed Seal,100%,No,275,450,2110,3866,2622,4378,2350,4049,2381,4118,True,none
-1,CHESS2016_N94S_FL12_C__20160421215349.572GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215349.572GMT_THERM-16BIT.PNG,79114.0,Animal,Ringed Seal,100%,No,594,400,5507,3344,6019,3856,5754,3567,5805,3621,True,none
-1,CHESS2016_N94S_FL12_C__20160421215351.941GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215351.941GMT_THERM-16BIT.PNG,79115.0,Animal,Ringed Seal,100%,No,298,274,2327,2210,2839,2722,2564,2461,2635,2491,True,none
-1,CHESS2016_N94S_FL12_C__20160421215356.807GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215356.807GMT_THERM-16BIT.PNG,79116.0,Animal,Ringed Seal,100%,No,296,53,2327,-198,2839,314,2542,0,2598,54,True,none
-1,CHESS2016_N94S_FL12_C__20160421215739.147GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215739.147GMT_THERM-16BIT.PNG,79117.0,Animal,Ringed Seal,100%,No,485,217,4171,1152,4683,1664,4419,1378,4448,1442,True,none
